maximum,status
109961,PREDECESSOR_REPORTED_COMPLETE
110089,PREDECESSOR_REPORTED_COMPLETE
110207,PREDECESSOR_REPORTED_COMPLETE
110291,PREDECESSOR_REPORTED_COMPLETE
110371,PREDECESSOR_REPORTED_COMPLETE
110507,PREDECESSOR_REPORTED_COMPLETE
110543,PREDECESSOR_REPORTED_COMPLETE
110659,PREDECESSOR_REPORTED_COMPLETE
110711,PREDECESSOR_REPORTED_COMPLETE
110881,PREDECESSOR_REPORTED_COMPLETE
111001,PREDECESSOR_REPORTED_COMPLETE
111067,PREDECESSOR_REPORTED_COMPLETE
111149,PREDECESSOR_REPORTED_COMPLETE
111161,PREDECESSOR_REPORTED_COMPLETE
111173,PREDECESSOR_REPORTED_COMPLETE
111271,PREDECESSOR_REPORTED_COMPLETE
111347,PREDECESSOR_REPORTED_COMPLETE
111409,PREDECESSOR_REPORTED_COMPLETE
111443,PREDECESSOR_REPORTED_COMPLETE
111467,PREDECESSOR_REPORTED_COMPLETE
111473,PREDECESSOR_REPORTED_COMPLETE
111541,PREDECESSOR_REPORTED_COMPLETE
111683,PREDECESSOR_REPORTED_COMPLETE
111923,PREDECESSOR_REPORTED_COMPLETE
111931,PREDECESSOR_REPORTED_COMPLETE
111979,PREDECESSOR_REPORTED_COMPLETE
112429,PREDECESSOR_REPORTED_COMPLETE
112459,PREDECESSOR_REPORTED_COMPLETE
112463,PREDECESSOR_REPORTED_COMPLETE
112669,PREDECESSOR_REPORTED_COMPLETE
112699,PREDECESSOR_REPORTED_COMPLETE
113063,PREDECESSOR_REPORTED_COMPLETE
113423,PREDECESSOR_REPORTED_COMPLETE
113453,PREDECESSOR_REPORTED_COMPLETE
113471,PREDECESSOR_REPORTED_COMPLETE
113599,PREDECESSOR_REPORTED_COMPLETE
113633,PREDECESSOR_REPORTED_COMPLETE
113663,PREDECESSOR_REPORTED_COMPLETE
113731,PREDECESSOR_REPORTED_COMPLETE
113851,PREDECESSOR_REPORTED_COMPLETE
113863,PREDECESSOR_REPORTED_COMPLETE
114143,PREDECESSOR_REPORTED_COMPLETE
114173,PREDECESSOR_REPORTED_COMPLETE
114619,PREDECESSOR_REPORTED_COMPLETE
114721,PREDECESSOR_REPORTED_COMPLETE
114799,PREDECESSOR_REPORTED_COMPLETE
114863,PREDECESSOR_REPORTED_COMPLETE
114865,PREDECESSOR_REPORTED_COMPLETE
114913,PREDECESSOR_REPORTED_COMPLETE
114943,PREDECESSOR_REPORTED_COMPLETE
114979,PREDECESSOR_REPORTED_COMPLETE
115031,PREDECESSOR_REPORTED_COMPLETE
115039,PREDECESSOR_REPORTED_COMPLETE
115043,PREDECESSOR_REPORTED_COMPLETE
115223,PREDECESSOR_REPORTED_COMPLETE
115369,PREDECESSOR_REPORTED_COMPLETE
116393,PREDECESSOR_REPORTED_COMPLETE
116423,PREDECESSOR_REPORTED_COMPLETE
116513,PREDECESSOR_REPORTED_COMPLETE
116611,PREDECESSOR_REPORTED_COMPLETE
116639,PREDECESSOR_REPORTED_COMPLETE
116693,PREDECESSOR_REPORTED_COMPLETE
116749,PREDECESSOR_REPORTED_COMPLETE
116867,PREDECESSOR_REPORTED_COMPLETE
116993,PREDECESSOR_REPORTED_COMPLETE
117053,PREDECESSOR_REPORTED_COMPLETE
117167,PREDECESSOR_REPORTED_COMPLETE
117457,PREDECESSOR_REPORTED_COMPLETE
117599,PREDECESSOR_REPORTED_COMPLETE
117619,PREDECESSOR_REPORTED_COMPLETE
117623,PREDECESSOR_REPORTED_COMPLETE
117991,PREDECESSOR_REPORTED_COMPLETE
118277,PREDECESSOR_REPORTED_COMPLETE
118373,PREDECESSOR_REPORTED_COMPLETE
118549,PREDECESSOR_REPORTED_COMPLETE
118639,PREDECESSOR_REPORTED_COMPLETE
118765,PREDECESSOR_REPORTED_COMPLETE
118933,PREDECESSOR_REPORTED_COMPLETE
118943,PREDECESSOR_REPORTED_COMPLETE
118985,PREDECESSOR_REPORTED_COMPLETE
119269,PREDECESSOR_REPORTED_COMPLETE
119323,PREDECESSOR_REPORTED_COMPLETE
119389,PREDECESSOR_REPORTED_COMPLETE
119851,PREDECESSOR_REPORTED_COMPLETE
119903,PREDECESSOR_REPORTED_COMPLETE
120049,PREDECESSOR_REPORTED_COMPLETE
120247,PREDECESSOR_REPORTED_COMPLETE
120253,PREDECESSOR_REPORTED_COMPLETE
120301,PREDECESSOR_REPORTED_COMPLETE
120623,PREDECESSOR_REPORTED_COMPLETE
120947,PREDECESSOR_REPORTED_COMPLETE
120979,PREDECESSOR_REPORTED_COMPLETE
120983,PREDECESSOR_REPORTED_COMPLETE
121085,PREDECESSOR_REPORTED_COMPLETE
121097,PREDECESSOR_REPORTED_COMPLETE
121099,PREDECESSOR_REPORTED_COMPLETE
121193,PREDECESSOR_REPORTED_COMPLETE
121237,PREDECESSOR_REPORTED_COMPLETE
121381,PREDECESSOR_REPORTED_COMPLETE
121385,PREDECESSOR_REPORTED_COMPLETE
121469,PREDECESSOR_REPORTED_COMPLETE
121639,PREDECESSOR_REPORTED_COMPLETE
121937,PREDECESSOR_REPORTED_COMPLETE
122117,PREDECESSOR_REPORTED_COMPLETE
122153,PREDECESSOR_REPORTED_COMPLETE
122281,PREDECESSOR_REPORTED_COMPLETE
122303,PREDECESSOR_REPORTED_COMPLETE
122401,PREDECESSOR_REPORTED_COMPLETE
122407,PREDECESSOR_REPORTED_COMPLETE
122419,PREDECESSOR_REPORTED_COMPLETE
122513,PREDECESSOR_REPORTED_COMPLETE
122627,PREDECESSOR_REPORTED_COMPLETE
122671,PREDECESSOR_REPORTED_COMPLETE
122723,PREDECESSOR_REPORTED_COMPLETE
122869,PREDECESSOR_REPORTED_COMPLETE
123091,PREDECESSOR_REPORTED_COMPLETE
123293,PREDECESSOR_REPORTED_COMPLETE
123527,PREDECESSOR_REPORTED_COMPLETE
123601,PREDECESSOR_REPORTED_COMPLETE
123743,PREDECESSOR_REPORTED_COMPLETE
123763,PREDECESSOR_REPORTED_COMPLETE
123835,PREDECESSOR_REPORTED_COMPLETE
123869,PREDECESSOR_REPORTED_COMPLETE
124027,PREDECESSOR_REPORTED_COMPLETE
124031,PREDECESSOR_REPORTED_COMPLETE
124037,PREDECESSOR_REPORTED_COMPLETE
124249,PREDECESSOR_REPORTED_COMPLETE
124387,PREDECESSOR_REPORTED_COMPLETE
124403,PREDECESSOR_REPORTED_COMPLETE
124409,PREDECESSOR_REPORTED_COMPLETE
124577,PREDECESSOR_REPORTED_COMPLETE
124823,PREDECESSOR_REPORTED_COMPLETE
124853,PREDECESSOR_REPORTED_COMPLETE
124867,PREDECESSOR_REPORTED_COMPLETE
125033,PREDECESSOR_REPORTED_COMPLETE
125149,PREDECESSOR_REPORTED_COMPLETE
125273,PREDECESSOR_REPORTED_COMPLETE
125453,PREDECESSOR_REPORTED_COMPLETE
125753,PREDECESSOR_REPORTED_COMPLETE
125839,PREDECESSOR_REPORTED_COMPLETE
125971,PREDECESSOR_REPORTED_COMPLETE
126109,PREDECESSOR_REPORTED_COMPLETE
126151,PREDECESSOR_REPORTED_COMPLETE
126155,PREDECESSOR_REPORTED_COMPLETE
126173,PREDECESSOR_REPORTED_COMPLETE
